id_pedido,id_cliente,id_cidade,Forma_Pgto,id_produto,NOME_PRODUTO,QTD,UNID,Preço_Venda,Dt_Pedido,FORNECEDOR,Preço_Compra,Total_Pedido
22,228,CPV,PIX,217,Morango,1,bandeja,"10,9",12/4/2021,OM,"6,13","58,9"
22,228,CPV,PIX,58,Banana prata,1,1Kg,"5,9",12/4/2021,OM,"3,6","58,9"
13,229,SJC,PIX,66,Batata inglesa,1,500g,"5,9",12/3/2021,OM,"3,25","134,4"
13,229,SJC,PIX,22,Abobrinha italiana,1,500g,"2,9",12/3/2021,OM,"1,65","134,4"
23,47,CPV,PIX,290,Vagem macarrÃ£o,1,200g,"2,9",12/4/2021,OM,"1,7",99
13,229,SJC,PIX,217,Morango,1,bandeja,"10,9",12/3/2021,OM,"6,13","134,4"
13,229,SJC,PIX,179,MaÃ§Ã£ importada (poucas unidades),1,500g,"17,9",12/3/2021,OM,"10,5","134,4"
13,229,SJC,PIX,191,Manga palmer,1,1Kg,"11,9",12/3/2021,OM,"7,2","134,4"
13,229,SJC,PIX,58,Banana prata,1,1Kg,"5,9",12/3/2021,OM,"3,6","134,4"
12,250,TTE,MAQ,218,Morango congelado,2,500g,"39,8",12/2/2021,OM,24,"86,3"
12,250,TTE,MAQ,106,Couve manteiga ,1,maÃ§o,"5,9",12/2/2021,JAMBO,"3,5","86,3"
12,250,TTE,MAQ,284,Tomatinho grape,2,250g,"15,8",12/2/2021,INTER,9,"86,3"
23,47,CPV,PIX,103,Chuchu,2,500g,"9,8",12/4/2021,OM,5,99
23,47,CPV,PIX,282,Tomate salada,2,500g,"11,8",12/4/2021,OM,"6,5",99
12,250,TTE,MAQ,226,PÃªssego,1,500g,"13,9",12/2/2021,JAMBO,8,"86,3"
12,250,TTE,MAQ,217,Morango,1,bandeja,"10,9",12/2/2021,OM,"6,13","86,3"
11,135,CPV,PIX,147,Granola de cacau e castanhas,1,280g,"29,9",12/2/2021,OM,"22,5","70,3"
23,47,CPV,PIX,217,Morango,1,bandeja,"10,9",12/4/2021,OM,"6,13",99
23,47,CPV,PIX,58,Banana prata,2,1Kg,"11,8",12/4/2021,OM,"7,2",99
11,135,CPV,PIX,106,Couve manteiga ,1,maÃ§o,"5,9",12/2/2021,JAMBO,"3,5","70,3"
11,135,CPV,PIX,282,Tomate salada,2,500g,"11,8",12/2/2021,OM,"6,5","70,3"
11,135,CPV,PIX,103,Chuchu,1,500g,"4,9",12/2/2021,OM,"2,5","70,3"
11,135,CPV,PIX,191,Manga palmer,1,1Kg,"11,9",12/2/2021,OM,"7,2","70,3"
10,8,SJC,PIX,2,AÃ§afrÃ£o da terra/ raiz (CÃºrcuma),1,100g,"1,9",12/2/2021,MY,"1,1","59,3"
10,8,SJC,PIX,48,Arroz branco agulhinha (Volkmann),1,1Kg,"21,9",12/2/2021,OM,13,"59,3"
11,135,CPV,PIX,58,Banana prata,1,1Kg,"5,9",12/2/2021,OM,"3,6","70,3"
10,8,SJC,PIX,58,Banana prata,1,1Kg,"5,9",12/2/2021,OM,"3,6","59,3"
10,8,SJC,PIX,217,Morango,1,bandeja,"10,9",12/2/2021,OM,"6,13","59,3"
10,8,SJC,PIX,72,Beterraba,1,500g,"3,9",12/2/2021,OM,"1,9","59,3"
10,8,SJC,PIX,93,Cebola roxa pequenas,1,500g,"8,9",12/2/2021,OM,2,"59,3"
10,8,SJC,PIX,106,Couve manteiga ,1,maÃ§o,"5,9",12/2/2021,JAMBO,"3,5","59,3"
14,208,CPV,MAQ,58,Banana prata,1,1Kg,"5,9",12/3/2021,OM,"3,6","34,3"
13,229,SJC,PIX,45,Amora blackberry congelada,1,500g,"29,9",12/3/2021,INTER,18,"134,4"
13,229,SJC,PIX,123,Farinha de mandioca flocada,1,200g,"8,9",12/3/2021,OM,5,"134,4"
13,229,SJC,PIX,260,Repolho verde,1,unid,"6,9",12/3/2021,OM,4,"134,4"
13,229,SJC,PIX,34,Alface mimosa,1,unid,"2,9",12/3/2021,JAMBO,"1,5","134,4"
13,229,SJC,PIX,30,Alface crespa verde,1,unid,"2,9",12/3/2021,JAMBO,"1,5","134,4"
13,229,SJC,PIX,282,Tomate salada,1,500g,"5,9",12/3/2021,OM,"3,25","134,4"
